Codigo_temporada;Codigo_competicion;Codigo_fase;Codigo_grupo;Codigo_equipo;Posicion;Puntos;Partidos_jugados;Partidos_ganados;Partidos_empatados;Partidos_perdidos;Goles_favor;Goles_contra;Nombre_temporada;Nombre_competicion;Nombre_fase;Nombre_grupo;Nombre_deporte;Nombre_categoria;Nombre_equipo;Nombre-Sexo;Nombre_distrito
2015;1         ;1;2;106255;8;6;8;3;0;5;100;139;2015/ 2016                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;MB POETAS GRUPO 1;MINIBALONCESTO                                    ;BENJAMIN                                          ;STA. MARIA DE YERMO "A"                           ;MIXTO;Moncloa
2015;1         ;1;2;106394;4;8;8;4;0;4;128;151;2015/ 2016                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;MB POETAS GRUPO 1;MINIBALONCESTO                                    ;BENJAMIN                                          ;DEHESA DE LA VILLA                                ;MIXTO;Moncloa
2015;1         ;1;2;106472;1;16;8;8;0;0;203;119;2015/ 2016                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;MB POETAS GRUPO 1;MINIBALONCESTO                                    ;BENJAMIN                                          ;PRINCIPE ROJO                                     ;MIXTO;Moncloa
2015;1         ;1;2;106948;10;-1;8;0;0;8;31;217;2015/ 2016                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;MB POETAS GRUPO 1;MINIBALONCESTO                                    ;BENJAMIN                                          ;BUEN CONSEJO BLANCO                               ;MIXTO;Moncloa
2015;1         ;1;2;107225;7;6;8;3;0;5;142;197;2015/ 2016                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;MB POETAS GRUPO 1;MINIBALONCESTO                                    ;BENJAMIN                                          ;PATROCINIO DE SAN JOSE                            ;MIXTO;Moncloa
2015;1         ;1;2;107312;9;4;8;2;0;6;149;205;2015/ 2016                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;MB POETAS GRUPO 1;MINIBALONCESTO                                    ;BENJAMIN                                          ;SALESIANOS ESTRECHO                               ;MIXTO;Moncloa
2015;1         ;1;2;108302;2;12;8;6;0;2;203;79;2015/ 2016                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;MB POETAS GRUPO 1;MINIBALONCESTO                                    ;BENJAMIN                                          ;ESCUELA NEWTON NEGRO                              ;MIXTO;Moncloa
2015;1         ;1;2;108384;3;10;8;5;0;3;179;135;2015/ 2016                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;MB POETAS GRUPO 1;MINIBALONCESTO                                    ;BENJAMIN                                          ;MOVISTAR ESTUDIANTES                              ;MIXTO;Moncloa
2015;1         ;1;2;108400;5;8;8;4;0;4;165;148;2015/ 2016                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;MB POETAS GRUPO 1;MINIBALONCESTO                                    ;BENJAMIN                                          ;ESCOLAPIAS                                        ;MIXTO;Moncloa
2015;1         ;1;2;108692;6;8;8;5;0;3;143;53;2015/ 2016                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;MB POETAS GRUPO 1;MINIBALONCESTO                                    ;BENJAMIN                                          ;CREF CHAMBERI                                     ;MIXTO;Moncloa
2015;1         ;1;3;106473;9;0;7;0;0;7;101;293;2015/ 2016                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;MB POETAS GRUPO 2;MINIBALONCESTO                                    ;BENJAMIN                                          ;PRINCIPE AZUL                                     ;MIXTO;Moncloa
2015;1         ;1;3;106507;4;9;8;4;1;3;215;147;2015/ 2016                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;MB POETAS GRUPO 2;MINIBALONCESTO                                    ;BENJAMIN                                          ;FESD STO DOMINGO                                  ;MIXTO;Moncloa
2015;1         ;1;3;106947;1;14;7;7;0;0;266;92;2015/ 2016                                        ;JUEGOS DEPORTIVOS MUNICIPALES                     ;JDM GRUPO                                         ;MB POETAS GRUPO 2;MINIBALONCESTO                                    ;BENJAMIN                                          ;BUEN CONSEJO ROJO                                 ;MIXTO;Moncloa
